policy_id,location_id,year,region,occupancy,exposure_years,insured_value,policy_limit,deductible,bi_waiting_period_days,current_premium,pm25,ozone,turbidity,water_quality_index,temperature_c,annual_rainfall_mm,drought_indicator,air_stress_flag,water_stress_flag,air_trigger_flag,water_trigger_flag,compound_trigger_flag,insured_trigger_type,bi_waiting_period_met_flag,air_filtration,water_treatment,business_continuity_plan,air_filtration_upgrade_cost,water_treatment_upgrade_cost,bcp_upgrade_cost,claim_count,aggregate_ground_up_loss,aggregate_covered_loss,aggregate_paid_loss
POL004-2025,LOC004,2025,Northgate,Manufacturing,0.95,29320000,7330000,60000,1,75900,27.1,73.1,0.75,84.1,27.9,953.2,0.4,1,0,0,0,0,None,0,1,0,0,0,127000,59000,0,0.0,0.0,0.0
POL004-2026,LOC004,2026,Northgate,Manufacturing,0.978,30720000,10750000,60000,2,81500,34.3,62.9,3.36,67.9,23.0,968.8,0.427,0,0,0,0,0,None,0,1,0,0,0,127000,59000,0,0.0,0.0,0.0
POL005-2024,LOC005,2024,Riverbend,Manufacturing,0.806,22420000,11210000,60000,2,48800,23.3,66.4,5.05,64.0,24.2,1387.4,0.155,0,1,0,1,0,Water,0,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL005-2025,LOC005,2025,Riverbend,Manufacturing,0.779,23250000,8140000,60000,2,44700,28.5,63.6,5.84,59.5,23.7,1165.0,0.356,0,1,0,0,0,None,0,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL005-2026,LOC005,2026,Riverbend,Manufacturing,0.736,24510000,8580000,80000,2,47800,37.8,62.2,5.26,66.0,25.6,1299.5,0.213,1,1,0,1,0,Water,1,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL006-2024,LOC006,2024,Drylands,Manufacturing,1.0,29600000,14800000,40000,2,91700,29.5,72.8,4.15,66.2,29.4,508.0,0.812,1,0,0,0,0,None,0,0,0,1,115000,145000,0,0,0.0,0.0,0.0
POL006-2025,LOC006,2025,Drylands,Manufacturing,1.0,30600000,10710000,80000,3,94800,40.8,71.2,2.73,62.5,29.5,482.0,0.638,1,0,0,0,0,None,0,0,0,1,115000,145000,0,0,0.0,0.0,0.0
POL006-2026,LOC006,2026,Drylands,Manufacturing,0.72,32340000,11320000,80000,2,69800,43.3,65.7,3.63,50.7,34.1,524.7,0.818,1,1,1,0,0,Air,0,0,0,1,115000,145000,0,0,0.0,0.0,0.0
POL007-2024,LOC007,2024,Coastview,Manufacturing,1.0,33480000,11720000,40000,2,97300,28.5,53.6,3.6,59.6,28.8,1595.7,0.1,0,1,0,0,0,None,0,0,0,1,124000,154000,0,0,0.0,0.0,0.0
POL007-2025,LOC007,2025,Coastview,Manufacturing,0.997,35960000,17980000,40000,2,98400,23.0,51.2,4.4,69.3,31.1,1502.9,0.02,0,0,0,0,0,None,0,0,0,1,124000,154000,0,0,0.0,0.0,0.0
POL007-2026,LOC007,2026,Coastview,Manufacturing,0.845,36110000,18060000,40000,1,88700,37.5,57.1,6.75,69.4,29.7,1349.7,0.246,1,1,0,1,0,Water,1,0,0,1,124000,154000,0,1,180924.48,180924.48,140924.48
POL008-2024,LOC008,2024,Northgate,Food Processing,0.858,17820000,4460000,25000,1,42900,34.0,62.5,4.63,64.3,22.9,895.6,0.153,0,0,0,0,0,None,0,1,0,0,0,108000,53000,0,0.0,0.0,0.0
POL008-2025,LOC008,2025,Northgate,Food Processing,0.74,18030000,6310000,25000,1,40400,33.9,62.3,3.47,84.8,24.6,944.8,0.369,0,0,0,0,0,None,0,1,0,0,0,108000,53000,0,0.0,0.0,0.0
POL008-2026,LOC008,2026,Northgate,Food Processing,0.757,18630000,4660000,40000,2,40100,31.9,67.4,1.96,65.0,21.7,867.3,0.268,0,0,0,0,0,None,0,1,0,0,0,108000,53000,0,0.0,0.0,0.0
POL009-2024,LOC009,2024,Northgate,Hospital,0.828,28120000,7030000,75000,3,77100,30.7,59.8,2.24,80.5,25.6,893.2,0.33,0,0,0,0,0,None,0,0,0,0,101000,126000,55000,0,0.0,0.0,0.0
POL009-2025,LOC009,2025,Northgate,Hospital,0.873,27600000,6900000,75000,2,78700,36.6,52.2,3.01,77.4,23.4,750.1,0.183,1,0,0,0,0,None,0,0,0,0,101000,126000,55000,0,0.0,0.0,0.0
POL009-2026,LOC009,2026,Northgate,Hospital,0.758,29370000,7340000,75000,2,69900,38.3,55.0,2.04,80.4,25.8,844.7,0.361,1,0,1,0,0,Air,1,0,0,0,101000,126000,55000,2,586999.04,586999.04,436999.04
POL010-2024,LOC010,2024,Coastview,Hospital,0.822,18940000,9470000,50000,3,50400,21.1,49.7,2.68,61.3,30.2,1564.3,0.139,0,0,0,0,0,None,0,1,0,0,0,107000,54000,0,0.0,0.0,0.0
POL010-2025,LOC010,2025,Coastview,Hospital,0.904,19160000,6710000,100000,1,53800,22.6,44.4,4.4,73.1,25.9,1372.2,0.152,0,0,0,0,0,None,0,1,0,0,0,107000,54000,0,0.0,0.0,0.0
POL010-2026,LOC010,2026,Coastview,Hospital,1.0,20330000,5080000,50000,3,62500,23.6,55.2,6.72,64.1,29.5,1525.9,0.26,0,1,0,0,0,None,0,1,0,0,0,107000,54000,0,0.0,0.0,0.0
POL011-2024,LOC011,2024,Riverbend,Hospital,0.774,28180000,9860000,50000,2,59900,26.7,58.2,3.83,64.5,25.0,1407.6,0.024,0,0,0,0,0,None,0,1,1,1,0,0,0,0,0.0,0.0,0.0
POL011-2025,LOC011,2025,Riverbend,Hospital,0.843,28010000,7000000,100000,1,64000,22.6,58.6,4.42,63.5,21.8,1182.0,0.109,0,0,0,0,0,None,0,1,1,1,0,0,0,0,0.0,0.0,0.0
POL011-2026,LOC011,2026,Riverbend,Hospital,0.95,30140000,10550000,100000,2,84900,29.0,45.8,5.1,56.0,22.3,1195.8,0.216,0,1,0,0,0,None,0,1,1,1,0,0,0,0,0.0,0.0,0.0
POL012-2024,LOC012,2024,Riverbend,Manufacturing,0.866,20140000,10070000,80000,2,43700,25.4,77.2,5.13,58.6,23.9,1402.6,0.265,1,1,0,0,0,None,0,1,0,1,0,112000,0,0,0.0,0.0,0.0
POL012-2025,LOC012,2025,Riverbend,Manufacturing,0.897,20070000,10040000,60000,3,46100,27.8,57.1,6.47,58.3,28.0,1298.8,0.154,0,1,0,1,0,Water,1,1,0,1,0,112000,0,0,0.0,0.0,0.0
POL012-2026,LOC012,2026,Riverbend,Manufacturing,1.0,21570000,10780000,60000,1,59800,26.4,61.1,5.99,47.1,25.2,1459.5,0.15,0,1,0,0,0,None,0,1,0,1,0,112000,0,0,0.0,0.0,0.0
POL013-2024,LOC013,2024,Coastview,Hospital,0.957,39960000,13990000,75000,2,129500,21.2,62.9,5.51,59.1,26.5,1527.2,0.111,0,1,0,1,0,Water,1,0,0,1,137000,162000,0,0,0.0,0.0,0.0
POL013-2025,LOC013,2025,Coastview,Hospital,0.96,42960000,10740000,50000,2,129500,32.1,54.0,5.11,57.6,26.5,1398.8,0.023,0,1,0,1,0,Water,0,0,0,1,137000,162000,0,0,0.0,0.0,0.0
POL013-2026,LOC013,2026,Coastview,Hospital,0.894,43260000,21630000,100000,2,124000,25.0,50.5,4.74,58.7,29.6,1587.8,0.238,0,1,0,1,0,Water,1,0,0,1,137000,162000,0,0,0.0,0.0,0.0
POL014-2024,LOC014,2024,Northgate,Food Processing,0.793,17920000,6270000,25000,3,41700,29.6,65.4,3.0,61.2,25.0,713.6,0.083,0,0,0,0,0,None,0,1,0,0,0,115000,47000,0,0.0,0.0,0.0
POL014-2025,LOC014,2025,Northgate,Food Processing,0.908,18740000,6560000,40000,2,47100,27.5,59.8,0.4,70.7,22.9,868.4,0.278,0,0,0,0,0,None,0,1,0,0,0,115000,47000,0,0.0,0.0,0.0
POL014-2026,LOC014,2026,Northgate,Food Processing,0.864,19410000,6790000,40000,1,48000,40.9,66.4,2.36,70.6,28.2,959.2,0.329,1,0,0,0,0,None,0,1,0,0,0,115000,47000,0,0.0,0.0,0.0
POL015-2024,LOC015,2024,Drylands,Hospital,1.0,36410000,18200000,75000,2,134200,43.8,70.7,4.75,62.8,28.6,519.1,0.773,1,0,1,0,0,Air,1,0,0,1,122000,160000,0,0,0.0,0.0,0.0
POL015-2025,LOC015,2025,Drylands,Hospital,0.855,37660000,18830000,50000,2,112600,36.9,69.4,6.28,66.9,34.8,442.2,0.633,1,1,0,0,0,None,0,0,0,1,122000,160000,0,0,0.0,0.0,0.0
POL015-2026,LOC015,2026,Drylands,Hospital,0.838,38520000,13480000,75000,2,116400,51.6,54.2,6.19,51.4,32.7,552.7,0.927,1,1,0,0,0,None,0,0,0,1,122000,160000,0,0,0.0,0.0,0.0
POL016-2024,LOC016,2024,Northgate,Food Processing,0.847,8530000,2990000,25000,2,21500,36.9,70.3,2.45,77.2,25.5,934.4,0.12,1,0,1,0,0,Air,0,0,0,0,71000,96000,40000,1,79177.94,79177.94,54177.94
POL016-2025,LOC016,2025,Northgate,Food Processing,0.875,8920000,4460000,40000,3,22500,36.2,71.8,2.88,80.5,24.3,967.7,0.374,1,0,0,0,0,None,0,0,0,0,71000,96000,40000,0,0.0,0.0,0.0
POL016-2026,LOC016,2026,Northgate,Food Processing,0.891,8970000,2240000,25000,1,25600,35.2,58.7,1.09,65.4,21.1,1111.4,0.254,1,0,0,0,0,None,0,0,0,0,71000,96000,40000,0,0.0,0.0,0.0
POL017-2024,LOC017,2024,Riverbend,Manufacturing,0.825,10020000,2500000,60000,2,22600,30.0,47.3,4.45,55.5,25.7,1189.4,0.325,0,1,0,0,0,None,0,0,1,1,81000,0,0,0,0.0,0.0,0.0
POL017-2025,LOC017,2025,Riverbend,Manufacturing,0.821,10290000,2570000,60000,2,23400,27.9,56.8,5.18,65.6,24.1,1488.4,0.02,0,1,0,0,0,None,0,0,1,1,81000,0,0,0,0.0,0.0,0.0
POL017-2026,LOC017,2026,Riverbend,Manufacturing,0.903,10490000,3670000,80000,3,23900,23.0,55.8,7.72,57.8,23.5,1317.8,0.086,0,1,0,0,0,None,0,0,1,1,81000,0,0,0,0.0,0.0,0.0
POL018-2024,LOC018,2024,Riverbend,Hospital,0.699,32390000,11340000,100000,2,70900,23.4,48.3,5.79,56.7,27.7,1228.9,0.169,0,1,0,0,0,None,0,1,1,0,0,0,61000,0,0.0,0.0,0.0
POL018-2025,LOC018,2025,Riverbend,Hospital,0.729,33330000,8330000,50000,2,76500,22.2,57.5,5.38,47.7,24.6,1405.0,0.053,0,1,0,0,0,None,0,1,1,0,0,0,61000,0,0.0,0.0,0.0
POL018-2026,LOC018,2026,Riverbend,Hospital,0.968,34690000,8670000,100000,3,103700,32.3,57.6,4.93,68.8,25.5,1065.6,0.297,0,0,0,0,0,None,0,1,1,0,0,0,61000,0,0.0,0.0,0.0
POL019-2024,LOC019,2024,Coastview,Manufacturing,0.83,13860000,4850000,60000,2,28400,25.4,50.9,4.13,62.9,28.9,1571.6,0.02,0,0,0,0,0,None,0,1,1,0,0,0,43000,0,0.0,0.0,0.0
POL019-2025,LOC019,2025,Coastview,Manufacturing,0.942,14430000,5050000,40000,3,36100,29.2,52.7,6.61,74.0,26.4,1676.8,0.112,0,1,0,0,0,None,0,1,1,0,0,0,43000,0,0.0,0.0,0.0
POL019-2026,LOC019,2026,Coastview,Manufacturing,1.0,15260000,5340000,40000,1,40300,42.2,64.2,5.0,58.6,27.5,1663.1,0.36,1,1,0,0,0,None,0,1,1,0,0,0,43000,0,0.0,0.0,0.0
POL020-2024,LOC020,2024,Coastview,Manufacturing,0.945,21570000,7550000,40000,1,55600,23.8,39.5,5.4,83.9,28.5,1504.7,0.072,0,1,0,1,0,Water,1,0,1,1,102000,0,0,0,0.0,0.0,0.0
POL020-2025,LOC020,2025,Coastview,Manufacturing,0.732,21870000,10940000,60000,2,42800,33.5,52.1,6.0,66.2,28.3,1600.4,0.204,0,1,0,1,0,Water,1,0,1,1,102000,0,0,0,0.0,0.0,0.0
POL020-2026,LOC020,2026,Coastview,Manufacturing,0.76,22990000,8050000,60000,1,43400,32.1,54.9,6.13,68.9,28.9,1488.2,0.299,0,1,0,0,0,None,0,0,1,1,102000,0,0,0,0.0,0.0,0.0
POL021-2024,LOC021,2024,Riverbend,Hospital,0.955,17650000,6180000,50000,2,53800,26.1,50.7,4.78,57.6,24.7,1396.4,0.191,0,1,0,0,0,None,0,0,0,1,96000,110000,0,0,0.0,0.0,0.0
POL021-2025,LOC021,2025,Riverbend,Hospital,0.787,18920000,4730000,75000,2,51700,10.7,62.3,6.85,56.7,29.1,1295.0,0.125,0,1,0,0,0,None,0,0,0,1,96000,110000,0,0,0.0,0.0,0.0
POL021-2026,LOC021,2026,Riverbend,Hospital,0.781,19450000,6810000,100000,2,51100,40.1,58.1,7.59,61.5,24.2,1163.1,0.286,1,1,1,0,0,Air,0,0,0,1,96000,110000,0,0,0.0,0.0,0.0
POL022-2024,LOC022,2024,Central Metro,Food Processing,1.0,7970000,2790000,25000,1,23900,26.2,59.5,3.49,74.6,24.0,863.2,0.469,0,0,0,0,0,None,0,0,1,0,70000,0,42000,0,0.0,0.0,0.0
POL022-2025,LOC022,2025,Central Metro,Food Processing,0.868,8340000,2080000,25000,3,22700,52.4,81.2,3.28,76.9,29.2,842.4,0.359,1,0,1,0,0,Air,1,0,1,0,70000,0,42000,0,0.0,0.0,0.0
POL022-2026,LOC022,2026,Central Metro,Food Processing,1.0,8590000,2150000,40000,1,27100,51.3,71.4,2.67,81.4,26.6,743.5,0.387,1,0,1,0,0,Air,1,0,1,0,70000,0,42000,0,0.0,0.0,0.0
POL023-2024,LOC023,2024,Drylands,Manufacturing,1.0,16170000,5660000,40000,1,47300,34.2,74.4,3.48,64.7,29.6,435.7,0.876,1,0,0,0,0,None,0,1,0,0,0,115000,49000,0,0.0,0.0,0.0
POL023-2025,LOC023,2025,Drylands,Manufacturing,0.759,16490000,4120000,80000,2,38500,38.8,78.5,5.34,63.9,32.6,545.9,0.604,1,1,0,0,0,None,0,1,0,0,0,115000,49000,0,0.0,0.0,0.0
POL023-2026,LOC023,2026,Drylands,Manufacturing,0.699,17650000,8820000,60000,1,38300,47.2,74.7,5.89,60.3,29.7,515.7,0.676,1,1,1,0,0,Air,0,1,0,0,0,115000,49000,1,127587.57,127587.57,67587.57
POL024-2024,LOC024,2024,Coastview,Hospital,0.848,17060000,8530000,75000,1,47200,30.9,50.9,4.08,68.5,27.3,1252.5,0.1,0,0,0,0,0,None,0,0,0,1,88000,105000,0,0,0.0,0.0,0.0
POL024-2025,LOC024,2025,Coastview,Hospital,0.931,17460000,6110000,50000,2,51400,27.3,52.0,4.46,72.2,24.1,1696.1,0.09,0,0,0,0,0,None,0,0,0,1,88000,105000,0,0,0.0,0.0,0.0
POL024-2026,LOC024,2026,Coastview,Hospital,0.804,18470000,4620000,75000,2,47000,29.0,51.0,4.57,66.6,23.3,1783.3,0.266,0,0,0,0,0,None,0,0,0,1,88000,105000,0,0,0.0,0.0,0.0
POL025-2024,LOC025,2024,Northgate,Hospital,1.0,33560000,11750000,50000,2,112400,36.7,63.5,4.14,65.0,22.3,729.8,0.307,1,0,0,0,0,None,0,0,0,1,123000,151000,0,0,0.0,0.0,0.0
POL025-2025,LOC025,2025,Northgate,Hospital,0.853,33520000,11730000,75000,1,94400,35.0,63.1,1.47,85.6,25.6,866.2,0.465,1,0,0,0,0,None,0,0,0,1,123000,151000,0,0,0.0,0.0,0.0
POL025-2026,LOC025,2026,Northgate,Hospital,0.76,35760000,17880000,50000,3,86000,44.2,67.5,2.71,74.9,24.3,963.8,0.426,1,0,0,0,0,None,0,0,0,1,123000,151000,0,0,0.0,0.0,0.0
POL026-2024,LOC026,2024,Northgate,Hospital,0.808,25810000,12900000,50000,3,57800,32.6,68.0,4.26,72.7,24.9,881.9,0.32,0,0,0,0,0,None,0,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL026-2025,LOC026,2025,Northgate,Hospital,0.963,27490000,13740000,50000,2,75400,35.7,62.0,2.16,72.9,22.7,795.0,0.311,1,0,0,0,0,None,0,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL026-2026,LOC026,2026,Northgate,Hospital,0.974,27390000,13700000,75000,2,80300,33.6,63.8,2.18,80.7,23.0,908.8,0.303,0,0,0,0,0,None,0,1,1,0,0,0,57000,0,0.0,0.0,0.0
POL027-2024,LOC027,2024,Drylands,Manufacturing,1.0,30450000,10660000,60000,1,87100,44.6,82.0,3.07,59.0,31.2,409.4,0.824,1,1,1,0,0,Air,0,0,0,1,115000,146000,0,0,0.0,0.0,0.0
POL027-2025,LOC027,2025,Drylands,Manufacturing,0.982,31600000,11060000,60000,3,98200,30.0,58.8,2.54,66.7,33.7,468.4,0.752,0,0,0,0,0,None,0,0,0,1,115000,146000,0,0,0.0,0.0,0.0
POL027-2026,LOC027,2026,Drylands,Manufacturing,1.0,34090000,11930000,60000,1,97000,46.0,70.3,5.27,57.7,33.9,539.4,0.752,1,1,0,1,0,Water,1,0,0,1,115000,146000,0,0,0.0,0.0,0.0
POL028-2024,LOC028,2024,Coastview,Manufacturing,0.776,24030000,8410000,40000,1,46600,31.6,63.7,4.76,69.5,31.7,1567.7,0.02,0,0,0,0,0,None,0,0,1,1,105000,0,0,0,0.0,0.0,0.0
POL028-2025,LOC028,2025,Coastview,Manufacturing,1.0,24250000,8490000,60000,2,64100,17.8,48.8,7.39,58.2,27.5,1456.9,0.308,0,1,0,0,0,None,0,0,1,1,105000,0,0,0,0.0,0.0,0.0
POL028-2026,LOC028,2026,Coastview,Manufacturing,0.777,24550000,12280000,80000,2,48800,22.7,56.9,4.66,60.3,27.8,1481.8,0.195,0,0,0,0,0,None,0,0,1,1,105000,0,0,0,0.0,0.0,0.0
POL029-2024,LOC029,2024,Central Metro,Hospital,0.735,22260000,5560000,75000,3,54800,34.8,64.4,2.46,67.3,30.9,831.8,0.444,0,0,0,0,0,None,0,0,0,1,99000,119000,0,0,0.0,0.0,0.0
POL029-2025,LOC029,2025,Central Metro,Hospital,0.94,23530000,11760000,50000,3,72500,46.8,74.5,5.22,70.6,27.7,947.1,0.213,1,1,0,0,0,None,0,0,0,1,99000,119000,0,0,0.0,0.0,0.0
POL029-2026,LOC029,2026,Central Metro,Hospital,0.802,24730000,12360000,100000,1,68400,49.7,80.0,1.94,68.6,31.7,665.7,0.339,1,0,1,0,0,Air,0,0,0,1,99000,119000,0,0,0.0,0.0,0.0
POL030-2024,LOC030,2024,Central Metro,Hospital,0.701,41430000,14500000,50000,1,98400,39.5,72.9,3.62,59.5,26.9,814.2,0.212,1,1,1,1,1,Compound,1,0,1,0,134000,0,69000,0,0.0,0.0,0.0
POL030-2025,LOC030,2025,Central Metro,Hospital,0.708,42500000,14870000,75000,1,97600,49.1,73.9,3.76,69.2,26.3,749.1,0.398,1,0,0,0,0,None,0,0,1,0,134000,0,69000,0,0.0,0.0,0.0
POL030-2026,LOC030,2026,Central Metro,Hospital,0.925,45780000,11440000,75000,1,133800,48.1,80.4,3.57,65.4,31.0,747.8,0.383,1,0,1,0,0,Air,1,0,1,0,134000,0,69000,1,224375.24,224375.24,149375.24
POL031-2024,LOC031,2024,Coastview,Manufacturing,0.728,15140000,5300000,60000,1,32600,27.2,47.9,4.08,61.4,30.7,1503.5,0.109,0,0,0,0,0,None,0,0,0,0,81000,108000,49000,0,0.0,0.0,0.0
POL031-2025,LOC031,2025,Coastview,Manufacturing,0.987,15720000,3930000,80000,3,46200,29.8,62.3,5.55,56.0,27.8,1604.3,0.099,0,1,0,0,0,None,0,0,0,0,81000,108000,49000,0,0.0,0.0,0.0
POL031-2026,LOC031,2026,Coastview,Manufacturing,1.0,15830000,3960000,60000,2,45800,30.2,53.4,5.11,62.5,30.2,1570.1,0.098,0,1,0,0,0,None,0,0,0,0,81000,108000,49000,0,0.0,0.0,0.0
POL032-2024,LOC032,2024,Drylands,Hospital,0.875,29720000,10400000,100000,2,90100,35.5,68.8,1.36,70.2,31.2,448.3,0.747,1,0,0,0,0,None,0,0,0,0,112000,141000,60000,0,0.0,0.0,0.0
POL032-2025,LOC032,2025,Drylands,Hospital,0.949,30250000,7560000,100000,1,99400,34.2,66.6,4.81,64.1,28.8,240.0,0.581,0,0,0,0,0,None,0,0,0,0,112000,141000,60000,0,0.0,0.0,0.0
POL032-2026,LOC032,2026,Drylands,Hospital,0.892,31810000,11130000,50000,1,106300,52.5,54.9,4.57,65.1,27.4,510.7,0.786,1,0,1,0,0,Air,1,0,0,0,112000,141000,60000,0,0.0,0.0,0.0
POL033-2024,LOC033,2024,Central Metro,Food Processing,0.816,12850000,4500000,40000,1,31900,46.2,78.6,3.7,74.3,27.3,646.4,0.281,1,0,0,0,0,None,0,1,0,0,0,104000,42000,0,0.0,0.0,0.0
POL033-2025,LOC033,2025,Central Metro,Food Processing,0.988,12980000,6490000,60000,1,37900,49.8,68.1,3.71,66.7,24.9,604.8,0.219,1,0,1,0,0,Air,1,1,0,0,0,104000,42000,0,0.0,0.0,0.0
POL033-2026,LOC033,2026,Central Metro,Food Processing,0.842,13620000,4770000,60000,1,35400,45.1,77.7,2.14,75.1,28.5,770.9,0.308,1,0,0,0,0,None,0,1,0,0,0,104000,42000,0,0.0,0.0,0.0
POL034-2024,LOC034,2024,Coastview,Food Processing,0.962,19260000,6740000,25000,2,56900,31.5,56.8,3.0,71.9,29.4,1479.6,0.165,0,0,0,0,0,None,0,0,1,0,89000,0,56000,0,0.0,0.0,0.0
POL034-2025,LOC034,2025,Coastview,Food Processing,0.889,19980000,9990000,40000,1,54500,19.6,48.6,5.89,62.5,32.6,1697.5,0.254,0,1,0,1,0,Water,0,0,1,0,89000,0,56000,0,0.0,0.0,0.0
POL034-2026,LOC034,2026,Coastview,Food Processing,0.79,20420000,7150000,40000,1,47400,24.3,53.7,7.48,64.0,24.5,1491.2,0.37,0,1,0,0,0,None,0,0,1,0,89000,0,56000,0,0.0,0.0,0.0
POL035-2024,LOC035,2024,Riverbend,Manufacturing,0.734,31680000,15840000,40000,2,65800,31.2,61.2,4.96,62.2,21.7,1265.4,0.294,0,0,0,0,0,None,0,0,0,0,117000,147000,64000,0,0.0,0.0,0.0
POL035-2025,LOC035,2025,Riverbend,Manufacturing,0.891,32430000,8110000,60000,2,86600,36.1,63.4,4.94,58.0,25.5,1252.7,0.302,1,1,0,0,0,None,0,0,0,0,117000,147000,64000,0,0.0,0.0,0.0
POL035-2026,LOC035,2026,Riverbend,Manufacturing,0.908,33320000,11660000,80000,2,90700,28.1,47.6,4.16,58.2,28.2,1316.6,0.312,0,1,0,1,0,Water,0,0,0,0,117000,147000,64000,1,49191.03,49191.03,0.0
POL036-2024,LOC036,2024,Riverbend,Hospital,0.998,18140000,6350000,100000,3,63700,39.6,51.6,6.73,60.7,20.2,1388.7,0.236,1,1,1,1,1,Compound,1,0,0,0,91000,106000,50000,2,418175.39,418175.39,218175.39
POL036-2025,LOC036,2025,Riverbend,Hospital,0.684,19140000,9570000,50000,2,44200,23.1,52.6,4.5,62.9,26.8,1411.8,0.149,0,0,0,0,0,None,0,0,0,0,91000,106000,50000,0,0.0,0.0,0.0
POL036-2026,LOC036,2026,Riverbend,Hospital,0.922,18890000,4720000,100000,3,61900,30.5,65.7,5.91,62.0,29.6,1399.1,0.259,0,1,0,1,0,Water,1,0,0,0,91000,106000,50000,2,1416250.95,1416250.95,1216250.95
POL037-2024,LOC037,2024,Drylands,Food Processing,0.843,21630000,5410000,40000,1,60400,37.1,71.4,3.23,62.0,31.4,444.0,0.48,1,0,1,0,0,Air,1,0,0,1,90000,113000,0,0,0.0,0.0,0.0
POL037-2025,LOC037,2025,Drylands,Food Processing,0.837,22200000,7770000,25000,3,56800,27.7,81.0,3.31,68.3,33.4,362.6,0.643,1,0,0,0,0,None,0,0,0,1,90000,113000,0,0,0.0,0.0,0.0
POL037-2026,LOC037,2026,Drylands,Food Processing,0.933,22790000,7980000,40000,3,65400,49.9,66.5,2.93,59.6,31.0,494.2,0.671,1,1,0,0,0,None,0,0,0,1,90000,113000,0,0,0.0,0.0,0.0
POL038-2024,LOC038,2024,Riverbend,Manufacturing,1.0,19390000,6790000,60000,1,52600,18.6,63.5,5.6,55.0,22.9,1227.1,0.384,0,1,0,0,0,None,0,0,0,1,95000,114000,0,0,0.0,0.0,0.0
POL038-2025,LOC038,2025,Riverbend,Manufacturing,0.765,20200000,5050000,60000,2,42400,23.8,51.1,5.39,61.0,25.4,1404.4,0.259,0,1,0,0,0,None,0,0,0,1,95000,114000,0,0,0.0,0.0,0.0
POL038-2026,LOC038,2026,Riverbend,Manufacturing,0.962,20690000,7240000,60000,3,56300,28.3,50.9,6.07,54.8,27.3,1279.4,0.294,0,1,0,0,0,None,0,0,0,1,95000,114000,0,0,0.0,0.0,0.0
